Date,Open,High,Low,Close,Adj Close,Volume,Company Symbol
2022-03-30,228.91,231.15,226.71,227.85,227.85,25588000.0,FB
2022-03-31,228.45,228.49,222.26,222.36,222.36,24192300.0,FB
2022-04-01,224.55,227.28,222.7,224.85,224.85,19544800.0,FB
2022-04-04,225.98,234.35,225.86,233.89,233.89,28054800.0,FB
2022-04-05,234.08,236.86,231.02,231.84,231.84,29727200.0,FB
2022-04-06,226.91,228.99,221.41,223.3,223.3,28995100.0,FB
2022-04-07,223.93,225.52,218.56,222.95,222.95,21037200.0,FB
2022-04-08,222.38,225.13,220.03,222.33,222.33,18375700.0,FB
2022-04-11,218.42,220.61,215.22,216.46,216.46,20516600.0,FB
2022-04-12,220.24,222.03,213.13,214.14,214.14,20128800.0,FB
2022-04-13,211.82,216.61,211.33,214.99,214.99,19231800.0,FB
2022-04-14,214.89,214.99,210.0,210.18,210.18,18379500.0,FB
2022-04-18,210.0,213.38,208.3,210.77,210.77,16580800.0,FB
2022-04-19,210.52,218.43,209.0,217.31,217.31,20089900.0,FB
2022-04-20,213.61,214.16,198.92,200.42,200.42,43036500.0,FB
2022-04-21,201.6,202.97,185.58,188.07,188.07,49954100.0,FB
2022-04-22,190.37,192.72,183.27,184.11,184.11,36426800.0,FB
2022-04-25,182.73,187.18,181.66,186.99,186.99,29281100.0,FB
2022-04-26,186.63,187.19,179.5,180.95,180.95,31747400.0,FB
2022-04-27,174.43,181.21,169.0,174.95,174.95,71062900.0,FB
2022-04-28,202.92,208.53,192.9,205.73,205.73,100890600.0,FB
2022-04-29,204.46,212.48,199.9,200.47,200.47,49193400.0,FB
2022-05-02,201.17,211.88,200.99,211.13,211.13,49915300.0,FB
2022-05-03,210.45,214.9,208.09,212.03,212.03,41556300.0,FB
2022-05-04,210.65,224.3,206.96,223.41,223.41,41375900.0,FB
2022-05-05,218.74,220.17,206.16,208.28,208.28,41129200.0,FB
2022-05-06,207.34,209.38,201.02,203.77,203.77,34747200.0,FB
2022-05-09,199.84,202.57,195.58,196.21,196.21,36303200.0,FB
2022-05-10,199.51,202.96,194.19,197.65,197.65,34452500.0,FB
2022-05-11,196.33,200.67,188.27,188.74,188.74,31153400.0,FB
2022-05-12,187.06,198.05,184.78,191.24,191.24,38262200.0,FB
2022-05-13,192.58,199.89,191.28,198.62,198.62,24549800.0,FB
2022-05-16,197.05,205.37,195.93,200.04,200.04,27112600.0,FB
2022-05-17,202.12,205.46,198.36,202.62,202.62,24872700.0,FB
2022-05-18,200.0,201.0,191.63,192.24,192.24,23960000.0,FB
2022-05-19,191.2,195.29,189.6,191.29,191.29,24446900.0,FB
2022-05-20,194.97,197.91,187.87,193.54,193.54,31465600.0,FB
2022-05-23,195.19,196.99,191.24,196.23,196.23,25059200.0,FB
2022-05-24,180.55,183.68,176.11,181.28,181.28,50406300.0,FB
2022-05-25,180.4,185.45,179.32,183.83,183.83,28030200.0,FB
2022-05-26,182.88,192.83,182.26,191.63,191.63,23056500.0,FB
2022-05-27,191.36,195.33,189.8,195.13,195.13,22562700.0,FB
2022-05-31,194.89,197.6,192.01,193.64,193.64,26131100.0,FB
2022-06-01,196.51,199.53,185.0,188.64,188.64,36623500.0,FB
2022-06-02,188.45,200.94,187.73,198.86,198.86,31951600.0,FB
2022-06-03,195.98,196.61,189.78,190.78,190.78,19447300.0,FB
2022-06-06,193.99,196.92,188.4,194.25,194.25,30574200.0,FB
2022-06-07,191.93,196.53,191.49,195.65,195.65,18828700.0,FB
2022-06-08,194.67,202.03,194.41,196.64,196.64,22267200.0,FB
2022-06-09,194.28,199.43,183.68,184.0,184.0,23147763.0,FB
